"bandName","showDate","capacity","attendance","city","phone"
"Lainey Wilson (MH)","2024-04-30",3500,0,"Berlin",""
"Lainey Wilson (MH)","2024-05-02",1750,0,"Stockholm","08-660 10 20"
"Lainey Wilson (MH)","2024-05-03",1750,0,"Oslo","47 22 20 32 32"
"Lainey Wilson (MH)","2024-04-04",0,0,"Nashville",
"Lainey Wilson (MH)","2024-04-04",0,0,"Nashville",
"Lainey Wilson (MH)","2024-04-05",0,0,"Nashville",
"Lainey Wilson (MH)","2024-04-05",10000,0,"Fort Lauderdale",""
"Lainey Wilson (MH)","2024-04-06",0,0,"Nashville",
"Lainey Wilson (MH)","2024-04-06",0,44799,"Minneapolis",""
"Lainey Wilson (MH)","2024-04-11",75000,0,"Florence","866.802.6418"
"Lainey Wilson (MH)","2024-04-12",75000,15000,"Florence","866.802.6418"
"Lukas Nelson + POTR","2024-04-05",7500,0,"Waco",
"Lukas Nelson + POTR","2024-04-28",12000,0,"Wilkesboro","(800) 343-7857"
"Lukas Nelson + POTR","2024-04-30",2111,0,"Greenville","864-679-9291"
"Lukas Nelson + POTR","2024-05-01",0,0,"Knoxville","(865) 523-2665"
"Lukas Nelson + POTR","2024-05-03",0,0,"North Little Rock",
"Lukas Nelson + POTR","2024-05-04",0,0,"Park City",""
"Lukas Nelson + POTR","2024-05-05",1494,0,"Cedar Rapids",
"Lukas Nelson + POTR","2024-05-07",6552,0,"Sioux Falls","605-367-8460"
"Lukas Nelson + POTR","2024-05-09",0,0,"Minneapolis",""
"Lukas Nelson + POTR","2024-05-10",11442,0,"Peoria","(309) 673-8900"
"Lukas Nelson + POTR","2024-05-11",7000,0,"Rogers",""
"Lukas Nelson + POTR","2024-05-23",0,0,"Cumberland","510-595-1115"
"Maddie Zahm (MH)","2024-05-02",400,0,"Dallas",""
"Maddie Zahm (MH)","2024-05-03",1000,0,"Austin","(512) 524-1932"
"Maddie Zahm (MH)","2024-05-04",0,0,"Houston","(888) 402-5837"
"Maddie Zahm (MH)","2024-05-07",0,0,"Birmingham","(205) 703-9545"
"Maddie Zahm (MH)","2024-05-09",1000,0,"Atlanta","(404) 577-8178"
"Maddie Zahm (MH)","2024-05-10",550,0,"Raleigh","(919) 821-4111"
"Maddie Zahm (MH)","2024-05-11",700,0,"Charlotte","7043589200"
"Maddie Zahm (MH)","2024-05-15",0,0,"Nahsville",
"Maddie Zahm (MH)","2024-05-16",725,0,"Louisville","(502) 584-8088"
"Maddie Zahm (MH)","2024-05-17",450,0,"Saint Louis","(314) 588-0505"
"Maddie Zahm (MH)","2024-05-18",0,0,"Kansas City","(816) 753-8880"
"Maddie Zahm (MH)","2024-05-20",700,0,"Des Moines",""
"Maddie Zahm (MH)","2024-05-21",750,0,"Omaha","(402) 884-5353"
"Maddie Zahm (MH)","2024-05-23",500,0,"Jackson","(307) 734-8956 "
"Maddie Zahm (MH)","2024-05-24",1000,0,"Boise","(208) 367-1212"
"Manchester Orchestra (MH)","2024-11-07",3700,0,"Seattle","206 652 0997"
"Manchester Orchestra (MH)","2024-11-09",1500,0,"Portland","(503) 225-0047"
"Manchester Orchestra (MH)","2024-11-11",2370,0,"San Francisco","(415) 243-8510"
"Manchester Orchestra (MH)","2024-11-12",7400,0,"Los Angeles","(503)-929-5961"
"Manchester Orchestra (MH)","2024-11-15",0,0,"San Diego",
"Manchester Orchestra (MH)","2024-11-16",0,0,"Las Vegas",
"Manchester Orchestra (MH)","2024-11-17",950,0,"Phoenix","4808290607"
"Manchester Orchestra (MH)","2024-11-19",4000,0,"DALLAS","+1 2144212021"
"Manchester Orchestra (MH)","2024-11-20",0,0,"Houston","1 281-501-6720"
"Manchester Orchestra (MH)","2024-11-22",0,0,"Atlanta","7707139536"
"Manchester Orchestra (MH)","2024-09-06",1850,0,"Charlotte"," (704) 916-8970"
"Manchester Orchestra (MH)","2024-09-07",2000,0,"Silver Spring","(703)754-6400"
"Manchester Orchestra (MH)","2024-09-08",2500,0,"Sayreville","732-238-5500"
"Manchester Orchestra (MH)","2024-09-10",0,0,"Buffalo","443-418-5342"
"Manchester Orchestra (MH)","2024-09-11",2500,0,"Philadelphia",""
"Manchester Orchestra (MH)","2024-09-13",3000,0,"Brooklyn","212.777.1860"
"Manchester Orchestra (MH)","2024-09-14",2200,0,"Boston","(888) 693-2583"
"Manchester Orchestra (MH)","2024-09-17",4500,0,"Cincinnati",
"Manchester Orchestra (MH)","2024-09-19",2200,0,"Detroit","(313)961-5451"
"Manchester Orchestra (MH)","2024-09-20",4500,0,"Indianapolis","317-374-5179"
"Manchester Orchestra (MH)","2024-09-21",0,0,"Chicago",""
"Manchester Orchestra (MH)","2024-09-22",1500,0,"Chicago","(312) 923-2000"
"Megadeth","2024-04-06",0,9500,"Lima",
"Megadeth","2024-04-09",0,15000,"Santiago",""
"Megadeth","2024-04-11",80000,4000,"Asuncion",
"Megadeth","2024-04-13",5700,12000,"Buenos Aires",
"Megadeth","2024-04-13",17100,0,"Buenos Aires",
"Megadeth","2024-04-14",5700,12000,"Buenos Aires",
"Megadeth","2024-04-16",5700,10000,"Buenos Aires",
"Megadeth","2024-04-18",7912,8000,"Sao Paulo",
"Megadeth","2024-04-21",0,11000,"Bogota",""
"Megadeth","2024-04-22",0,8000,"Bogota",""
"Megadeth","2024-04-22",0,0,"Bogota",""
"Michael Franti & Spearhead (Manhead)","2024-04-06",10000,0,"Fort Lauderdale",""
"Michael Franti & Spearhead (Manhead)","2024-04-10",1000,611,"Mobile","334-433-5958"
"Michael Franti & Spearhead (Manhead)","2024-04-11",30,30,"Bonita Springs",
"Michael Franti & Spearhead (Manhead)","2024-04-11",1500,0,"Tallahassee","(850) 878-6900"
"Michael Franti & Spearhead (Manhead)","2024-04-12",0,992,"Key West","(305) 985-0433"
"Michael Franti & Spearhead (Manhead)","2024-04-13",0,0,"Orlando",
"Michael Franti & Spearhead (Manhead)","2024-04-28",40000,0,"New Orleans","(504) 410-4100"
"Michael Franti & Spearhead (Manhead)","2024-05-17",0,0,"Prescott",
"Michael Franti & Spearhead (Manhead)","2024-05-24",4120,0,"Grand Junction",
"Michael Franti & Spearhead (Manhead)","2024-05-25",0,0,"Santa Fe",
"Michael Franti & Spearhead (Manhead)","2024-05-26",0,0,"Durango",
"Michael Franti & Spearhead (Manhead)","2024-05-29",450,0,"Aspen","(970) 544-9800"
"Michael Franti & Spearhead (Manhead)","2024-05-31",9545,0,"Morrison",""
"Michael Franti & Spearhead (Manhead)","2024-06-01",0,0,"Boulder",""
"Michael Franti & Spearhead (Manhead)","2024-06-03",3,0,"Cedar Rapids","(319) 362-1729"
"Michael Franti & Spearhead (Manhead)","2024-06-05",0,0,"Green Bay",
"Michael Franti & Spearhead (Manhead)","2024-06-06",0,0,"Madison","(608) 709-8157"
"Michael Franti & Spearhead (Manhead)","2024-06-07",5000,0,"Plymouth",""
"Michael Franti & Spearhead (Manhead)","2024-06-08",3910,0,"Kansas City","1 (816) 842-1045"
"Michael Franti & Spearhead (Manhead)","2024-06-11",0,0,"Omaha",
"Michael Franti & Spearhead (Manhead)","2024-06-13",0,0,"Cincinnati",""
"Michael Franti & Spearhead (Manhead)","2024-06-14",0,0,"Indianapolis",
"Michael Franti & Spearhead (Manhead)","2024-06-15",13000,0,"Highland Park","(847) 266-5434"
"Michael Franti & Spearhead (Manhead)","2024-06-16",2500,0,"Cleveland","216-371-3000"
"Michael Franti & Spearhead (Manhead)","2024-06-18",0,0,"Middlefield",
"Michael Franti & Spearhead (Manhead)","2024-06-19",1500,0,"South Deerfield",
"Michael Franti & Spearhead (Manhead)","2024-06-20",3500,0,"Kingston",
"Michael Franti & Spearhead (Manhead)","2024-06-21",0,0,"Grantville",
"Michael Franti & Spearhead (Manhead)","2024-06-22",4000,0,"LAFAYETTE",
"Michael Franti & Spearhead (Manhead)","2024-06-23",16500,0,"Bangor",""
"Michael Franti & Spearhead (Manhead)","2024-06-25",2200,0,"Hampton Beach","603.929.4100"
"Michael Franti & Spearhead (Manhead)","2024-06-26",0,0,"Selbyville",
"Michael Franti & Spearhead (Manhead)","2024-06-28",0,0,"Asheville","828 407 0521"
"Michael Franti & Spearhead (Manhead)","2024-06-29",0,0,"Asheville","828 407 0521"
"Michael Franti & Spearhead (Manhead)","2024-06-30",5000,0,"Manteo","877.629.4386"
"Michael Franti & Spearhead (Manhead)","2024-07-05",950,0,"Wilmington","(910) 341-4604"
"Michael Franti & Spearhead (Manhead)","2024-07-06",950,0,"Wilmington","(910) 341-4604"
"Michael Franti & Spearhead (Manhead)","2024-07-07",950,0,"Wilmington","(910) 341-4604"
"Michael Franti & Spearhead (Manhead)","2024-07-09",300,0,"Nantucket","(508)228-0443"
"Michael Franti & Spearhead (Manhead)","2024-07-10",300,0,"Nantucket","(508)228-0443"
"New Edition","2024-07-27",45000,0,"Cincinnati",
"Oliver Anthony (MH)","2024-04-04",6000,2721,"Fort Worth","817-998-7234"
"Oliver Anthony (MH)","2024-04-05",0,3113,"Round Rock",
"Oliver Anthony (MH)","2024-04-06",0,2548,"Lubbock",
"Oliver Anthony (MH)","2024-04-12",10000,4701,"Tupelo","6628416528"
"Oliver Anthony (MH)","2024-04-13",2200,3176,"Jonesboro",""
"Oliver Anthony (MH)","2024-04-19",5000,3189,"Albany","229-430-5200"
"Oliver Anthony (MH)","2024-04-20",0,4245,"Savannah",""
"Oliver Anthony (MH)","2024-04-20",4000,0,"Hattiesburg","6015837500"
"Oliver Anthony (MH)","2024-04-26",23000,0,"Greensboro","336.373.7474 "
"Oliver Anthony (MH)","2024-04-27",13000,0,"Duluth","770-813-7500"
"Oliver Anthony (MH)","2024-05-03",0,0,"Huntington",
"Oliver Anthony (MH)","2024-05-04",2500,0,"Beaver Dam","270-991-2514"
"Oliver Anthony (MH)","2024-05-10",5240,0,"Corbin","(606)258-2020"
"Oliver Anthony (MH)","2024-05-11",0,0,"Pikeville",
"Oliver Anthony (MH)","2024-05-17",8226,0,"Doswell","(804) 562-0489"
"Oliver Anthony (MH)","2024-05-18",10000,0,"Bushkill",
"Oliver Anthony (MH)","2024-05-25",0,0,"Petros",
"Oliver Anthony (MH)","2024-05-31",0,0,"Pelham",""
"Oliver Anthony (MH)","2024-06-01",0,0,"Pelham",""
"Oliver Anthony (MH)","2024-06-06",35000,0,"Myrtle Beach",""
"Oliver Anthony (MH)","2024-06-14",0,0,"Marion","6189988499"
"Oliver Anthony (MH)","2024-06-15",0,0,"Camdenton",
"Oliver Anthony (MH)","2024-06-20",0,0,"Wildwood",
"Oliver Anthony (MH)","2024-06-22",15000,0,"Canandaigua","(585) 758-5300"
"Oliver Anthony (MH)","2024-06-28",2400,0,"Pittsburgh","(412)229-5483"
"Oliver Anthony (MH)","2024-06-29",0,0,"Columbus",""
"Oliver Anthony (MH)","2024-07-07",15000,0,"Marshfield","7814059310"
"Oliver Anthony (MH)","2024-07-19",17500,0,"Cullman",""
"Oliver Anthony (MH)","2024-08-16",0,0,"Lewisburg","304-645-1090"
"Oliver Anthony (MH)","2024-08-21",0,0,"Put In Bay",""
"Oliver Anthony (MH)","2024-08-23",6000,0,"Indianapolis",""
"Oliver Anthony (MH)","2024-08-24",7647,0,"Saginaw","989-759-1320"
"Oliver Anthony (MH)","2024-09-01",3630,0,"Palmer",""
"Oliver Anthony (MH)","2024-09-13",0,0,"Allegan","(269) 673-6501"
"Royal Blood (MH)","2024-05-02",5500,0,"Raleigh","704-200-5450"
"Royal Blood (MH)","2024-05-03",1050,0,"Asheville","(828) 225-5851"
"Royal Blood (MH)","2024-05-04",20000,0,"Atlanta","1-800-745-3000"
"Royal Blood (MH)","2024-05-06",6578,0,"Portsmouth","757-393-8181"
"Royal Blood (MH)","2024-05-07",7000,0,"Wilmington","843-934-7947"
"Royal Blood (MH)","2024-05-08",600,0,"North Charleston",
"Royal Blood (MH)","2024-05-09",27500,0,"Jacksonville",""
"Royal Blood (MH)","2024-05-10",5500,0,"Hollywood","(954) 327-7625"
"Royal Blood (MH)","2024-05-13",0,0,"Nahsville",
"Royal Blood (MH)","2024-05-14",2000,0,"Indianapolis","317-231-0000"
"Royal Blood (MH)","2024-05-16",0,0,"Minneapolis",
"Royal Blood (MH)","2024-05-17",2400,0,"Madison","(608) 267-3995"
"Royal Blood (MH)","2024-05-18",1800,0,"Grand Rapids","616-451-8232"
"Royal Blood (MH)","2024-05-19",40000,0,"Columbus",
"Sonic Symphony ","2024-04-06",0,0,"Milwaukee",""
"Sonic Symphony ","2024-04-20",0,2521,"Cleveland","216-771-8403"
"Sonic Symphony ","2024-04-20",2050,0,"Cleveland",""
"Sonic Symphony ","2024-06-02",0,0,"Paris",""
"Sonic Symphony ","2024-06-08",0,0,"New York City","212-568-6700"
"Sonic Symphony ","2024-06-15",2312,0,"Phoenix","602-262-6225"
"Sonic Symphony ","2024-06-16",2643,0,"Salt Lake City","801-32-680(of.)"
"Sonic Symphony ","2024-06-22",2579,0,"Minneapolis","5023456747"
"Sonic Symphony ","2024-06-29",2400,0,"Greensboro",
"Sonic Symphony ","2024-07-27",2967,0,"San Diego","619.615.4000"
"Sonic Symphony ","2024-04-06",0,1904,"Milwaukee",""
"Sonic Symphony ","2024-04-07",0,0,"Milwaukee",""
"Stardew Valley","2024-08-26",0,0,"Singapore",
"Stardew Valley","2024-09-27",0,0,"Tokyo",
"The Interrupters (MH)","2024-04-19",4200,2200,"Omaha",
"The Interrupters (MH)","2024-04-20",0,2142,"Wichita","316-260-5141"
"The Interrupters (MH)","2024-04-21",2300,1625,"Kansas City","(816) 753-8665"
"The Interrupters (MH)","2024-04-23",0,3941,"Minneapolis",""
"The Interrupters (MH)","2024-04-24",3000,2080,"St. Louis",
"The Interrupters (MH)","2024-04-26",0,0,"Grand Rapids",
"The Interrupters (MH)","2024-04-27",3500,0,"Milwaukee","(414) 342-7283"
"The Interrupters (MH)","2024-04-29",0,0,"Baltimore",""
"The Interrupters (MH)","2024-04-30",5000,0,"Boston, MA",""
"The Interrupters (MH)","2024-05-01",6733,0,"Portland",""
"The Interrupters (MH)","2024-05-04",0,0,"Asbury Park",""
"The Interrupters (MH)","2024-05-05",6000,0,"Brooklyn","212.777.1860"
