artistName,account_uuid,tour_name,tour_uuid,show_uuid,showDate,showEndDate,state,attendance,capacity,currencyFormat,location
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_3c6013ce-1bd5-4c6e-84d8-e671263b0928,2023-09-03,2023-09-03,DONE,0,17500,USD,"Los Angeles, CA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_542d0e9d-8cd6-47e3-9e35-2503c07d1ea2,2023-09-09,2023-09-09,DONE,0,0,USD,"Northfield, OH, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_d520eb71-dc24-4c25-bc13-75bc6ab33927,2023-09-10,2023-09-10,DONE,500,500,USD,"Ridgefield, CT, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_3ead8ebf-1b6f-41e3-b524-1310a8cbdd9b,2023-09-15,2023-09-16,DONE,0,0,CAD,"Rama, ON, Canada"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_c2cfec34-8b78-4a28-b5b2-a93f8a28c1ec,2023-09-21,2023-09-21,DONE,0,1171,USD,"Cleveland, MS, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_c41ac450-e845-458f-86ae-d07297a4ea55,2023-09-22,2023-09-23,DONE,0,4000,USD,"Biloxi, MS, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_3e034f39-1a54-4f4c-b9f2-59f7e05b2f8a,2023-09-29,2023-09-29,DONE,0,1250,CAD,"Regina, SK, Canada"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_45223be7-b469-48d0-8f99-d5e3c5daec05,2023-09-30,2023-09-30,DONE,2303,0,CAD,"Calgary, AB, Canada"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_0a71a38f-3fe0-4133-a80c-28727450ae44,2023-11-05,2023-11-05,CANCELLED,0,0,USD,"North Little Rock, AR, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_3261cc74-6903-4d07-813b-5a65b8ec3812,2023-10-02,2023-10-02,DONE,1851,2305,CAD,"Winnipeg, Manitoba, Canada"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_46d8e959-c924-48d0-924c-ef5a7f2dc7a8,2023-10-04,2023-10-04,CANCELLED,0,1983,USD,"Lawrence, KS, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_07a713f8-9547-416d-9338-19b1fda7bd98,2023-10-06,2023-10-06,DONE,783,0,USD,"Anderson, IN, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_e6f91b10-4ddb-467f-8f65-66406c2cef30,2023-10-07,2023-10-07,DONE,1261,0,USD,"Detroit, MI, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_2ccc80ad-f64a-48fa-9ad0-7fce76d4899a,2023-10-08,2023-10-08,DONE,0,2400,USD,"Greensboro, NC, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_26b41160-ceaf-4176-9cf5-855dec297ee2,2023-10-13,2023-10-13,DONE,1588,0,USD,"Albuquerque, , United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_f21cc0e9-31e6-4b7b-9a05-ab865d8289e0,2023-10-15,2023-10-16,CANCELLED,0,0,USD,"Orlando, FL, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_b93a1eb2-c7d0-4b7d-b8fe-97ac721f2691,2023-10-20,2023-10-20,DONE,0,1214,USD,"Wausau, WI, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_6cdab6fe-9e04-46ca-b722-4f0c7ef57216,2023-10-21,2023-10-21,DONE,0,2000,USD,"Wisconsin Dells, WI, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_1b5cb6ea-1726-46f7-ae30-d7ad8584ead6,2023-10-27,2023-10-27,DONE,1425,1400,USD,"San Diego, CA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_c70a207f-b7a2-4c1a-a4a6-ce7624a6cf4c,2023-10-28,2023-10-28,DONE,4200,4800,USD,"Lincoln, CA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_a01ef9a9-3d2c-401e-8b56-cb5e0dfa335f,2023-10-29,2023-10-29,DONE,1349,1288,USD,"Anaheim, CA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_11d657d2-9d0a-476d-b59b-02cb65747183,2023-11-03,2023-11-03,DONE,1800,0,USD,"Maricopa, AZ, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_dd807e76-9206-42a0-9588-b92ae4f3e2aa,2023-11-05,2023-11-05,DONE,0,0,USD,"North Little Rock, AR, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_1ec4710c-5086-464f-8e86-adf107fd22c9,2023-11-09,2023-11-09,DONE,1289,0,USD,"Plymouth, MA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_b6e86285-50bf-471b-9eda-34350e7ef2db,2023-11-10,2023-11-10,DONE,1466,1850,USD,"Medford, MA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_37da19cf-c070-4070-bd4c-29546a2ef7da,2023-11-11,2023-11-11,DONE,2727,0,USD,"Oxon Hill, MD, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_3816b8a8-de10-492e-9041-f6469d5b1656,2023-11-17,2023-11-17,DONE,1500,0,USD,"Lincoln, RI, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_331251c6-273a-4671-8250-db0549a007ea,2023-11-18,2023-11-18,DONE,0,0,USD,"Bensalem, PA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_20aba923-7e73-47b6-a133-e12b28f32e23,2023-11-19,2023-11-19,DONE,870,1304,USD,"Concord, NH, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_0f1d4645-5aa9-4fa5-8cc5-1b97dd88ce3c,2023-11-25,2023-11-25,DONE,0,2400,USD,"Niagara Falls, NY, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_456c5cb0-0e01-4f7a-9d86-1ffb441479dd,2023-11-26,2023-11-26,DONE,2323,0,USD,"Newark, NJ, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q4 (Oct-Dec),tour_d86505c9-9be1-4e8d-ab84-4a4e1362b619,show_ebac9b53-c724-4b1f-8657-f72def88a88d,2023-11-27,2023-11-27,CANCELLED,0,0,USD,"Bensalem, PA, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_32d732ba-3ad3-44bf-bba6-eb0c15e77bc5,2022-04-15,2022-04-15,DONE,959,0,USD,"El Cajon, CA, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_d7c2fae7-a9c9-466a-ae00-c3205f8ef397,2022-04-16,2022-04-16,DONE,1952,2650,USD,"Phoenix, AZ, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_c2456ad3-1dcb-41a5-98dd-58471bb156ed,2022-04-17,2022-04-17,DONE,1022,2322,USD,"Albuquerque, NM, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_82db6b07-7d1d-429b-8f0a-2079ec0b073b,2022-04-19,2022-04-19,DONE,1161,2000,USD,"Colorado Springs, CO, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_fbeb020c-b601-4f56-a24e-b08990225e39,2022-04-21,2022-04-21,DONE,1536,2050,USD,"Minneapolis, MN, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_a6a68557-497c-49ca-9eca-c96762b9a217,2022-04-22,2022-04-22,DONE,1075,2300,USD,"Davenport, IA, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_01755633-983a-4157-b59e-064639cf73ba,2022-04-23,2022-04-23,DONE,1596,0,USD,"Waukegan, IL, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_111c441c-29ef-4beb-b9a6-e199ba8e4792,2022-04-25,2022-04-25,DONE,1008,1345,USD,"Milwaukee, WI, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_c2558fdf-7fbe-414f-9b54-7ebd46964e04,2022-04-26,2022-04-26,DONE,1328,2300,USD,"Dayton, OH, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_e3eda476-23d0-4a02-a1b5-31171a7a00d9,2022-04-27,2022-04-27,DONE,915,1700,USD,"Royal Oak, MI, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_be184f46-f8ba-4b4d-ad71-81fa314d2be6,2022-04-30,2022-04-30,DONE,0,2500,USD,"Montclair, NJ, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,April US 2022,tour_eee8d7ef-1f08-44ba-b1c2-c40198cc396e,show_f7dfe3ed-2b82-4a91-8716-3be5f7a68e08,2022-05-02,2022-05-07,DONE,0,0,USD,"Cornelius, NC, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_5282980f-84f5-43f0-8f47-f992057e6536,2022-01-27,2022-01-27,DONE,740,1900,USD,"Jacksonville, FL, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_9464bc74-4a95-4a2a-9dc7-2c5e486cf24b,2022-01-29,2022-01-29,DONE,1493,2180,USD,"Clearwater, FL, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_9e188df8-0b2d-4874-b363-157f4fa950c5,2022-01-30,2022-01-30,DONE,1321,2650,USD,"Fort Lauderdale, FL, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_868ca2c3-36fb-40e5-af27-757e63205afb,2022-02-01,2022-02-01,DONE,1330,1814,USD,"Atlanta, , United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_4c907b4b-2c28-431d-a040-55afbf995f30,2022-02-02,2022-02-02,DONE,495,900,USD,"Charleston, SC, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_863f2359-a85b-4894-aedb-e05857405999,2022-02-03,2022-02-03,DONE,730,1032,USD,"Durham, NC, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_3e63b454-1186-4cbb-8b1f-81bc9d985269,2022-02-07,2022-02-07,DONE,709,320,USD,"Austin, TX, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_ffd03197-3c0e-4f03-bbaf-33e7cb8749e1,2022-02-08,2022-02-08,CANCELLED,0,0,USD,"Stafford, TX, United States"
Alan Parsons Live,acct_f8cf4d05-11a1-49a9-ad54-247240365cd0,Jan - Feb 2022,tour_594a9ab8-3a44-46e0-b89b-9482f7fe0654,show_690974a4-d02f-4a0c-ba97-7d9ece033b66,2022-02-10,2022-02-10,CANCELLED,0,1870,USD,"Denver, CO, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_06665b77-db90-4c93-96e9-b92f35d994e2,2022-03-12,2022-03-12,DONE,1236,2160,USD,"Worcester, MA, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_b92b8d1a-fe27-46f1-8910-7428fdd2c66b,2022-03-13,2022-03-13,DONE,518,750,USD,"South Burlington, VT, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_f0366ec7-c429-4e5b-ac81-dd10bf89a1b5,2022-03-14,2022-03-14,DONE,437,1700,USD,"Niagara Falls, NY, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_fd49f22d-43df-4e74-b907-3b44d286b388,2022-03-16,2022-03-16,DONE,550,1200,USD,"Cleveland, OH, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_3f1523b8-46dc-455c-bd76-ab3c4bd61f3e,2022-03-17,2022-03-17,DONE,550,550,USD,"Flint, MI, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_626b8360-b1a4-4e9b-82f0-98d31b25feef,2022-03-18,2022-03-18,DONE,550,550,USD,"Flint, MI, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_cfba8243-97cb-46fe-8f6d-5e971a0e0f4f,2022-03-19,2022-03-19,DONE,865,1500,USD,"Cincinnati, OH, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_577c3f88-b4f3-4a95-8757-e14ebdcc4070,2022-03-21,2022-03-21,DONE,650,0,USD,"Columbus, OH, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_ae55f19f-3ac7-4529-a3e4-a8f4c56cf9c6,2022-03-24,2022-03-24,DONE,407,2000,USD,"Fort Wayne, IN, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_46a71699-019e-4679-b94a-caa491bb3de0,2022-03-25,2022-03-25,DONE,787,700,USD,"Sauget, IL, IL, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_795bc5a1-21f8-4762-b7cd-5af285bd06f6,2022-03-26,2022-03-26,DONE,715,0,USD,"East Moline, IL, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_fd33eafb-6029-42fe-b0d3-53b5e65fb5b3,2022-03-27,2022-03-27,DONE,900,0,USD,"Joliet, IL, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_a0905c8e-82fd-4d19-89ac-b51d3fed6f78,2022-03-30,2022-03-30,DONE,523,0,USD,"Green Bay, WI, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_88a945a4-1954-40c3-be5b-c51d21cbb0f6,2022-03-31,2022-03-31,DONE,483,0,USD,"Minneapolis, MN, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_7728f773-2b9c-45ba-9e37-993bdb6577ce,2022-04-01,2022-04-01,DONE,542,851,USD,"Sioux City, IA, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_8c11567c-8b99-4b25-ba12-b1807546d101,2022-04-02,2022-04-02,DONE,600,0,USD,"Dubuque, IA, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_c3542ffb-b9e5-491a-9426-5752229f5346,2022-04-04,2022-04-04,DONE,571,2000,USD,"Wichita, KS, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_bb512874-61aa-49d7-a8ed-2feee957f757,2022-04-05,2022-04-05,DONE,900,500,USD,"Denver, CO, United States"
All That Remains (MH),acct_6e53f64b-95dc-4b2c-b01c-bfe0fed74f55,TFOI 15 Year Anniversary Tour March - May 2022,tour_ee65d598-35e5-4583-be56-112ee2e25936,show_c07a2ac5-0b3b-4776-aab2-1f10935bcf20,2022-04-07,2022-04-07,DONE,702,1200,USD,"Salt Lake City, UT, United States"
